Date,Asset,OriginalShorttext,PMType,Cost,RunningTime,MajorSystem,Part,Action,Variant,FM,Location,Comments,FuncLocation,SuspSugg,Rule,
01/07/2004,A,BUCKET WON'T OPEN,PM01,183.05,NA,Bucket,NA,NA,NA,NA,NA,NA,BUCKET,0,Rule_1_3_5,
20/03/2005,A,L/H BUCKET CYL LEAKING.,PM01,407.4,262,Bucket_Hydraulic Cylinders,Cylinder_Tilt,NA,NA,Leak,Left,NA,CYLINDER BOOM,0,Rule_1_3_5_19_115_214_434_509,
05/05/2006,A,SWAP BUCKET,PM01,0,411,Bucket,NA,Replace,4,NA,NA,NA,BUCKET,0,Rule_1_3_5_399,
11/07/2006,A,FIT BUCKET TOOTH,PM01,0,67,Bucket,GET,Replace,Install,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_8_116_132_385,
10/11/2006,A,REFIT BUCKET TOOTH,PM01,1157.27,122,Bucket,GET,Modify_Replace,Install,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_8_116_132_365_385,
21/04/2008,A,REPAIR LOOSE BUCKET CYLINDER,PM01,0,528,Bucket_Hydraulic Cylinders,Cylinder_Tilt,Repair,1,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_5_19_115_214_366_439,
02/10/2008,A,REPLACE 2 BUCKET TEETH,PM01,1256.62,164,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_9_117_133_392_393,
12/07/2001,B,REPLACE MISSING LIP TIPS,PM01,1281.36,NA,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,Bucket Teeth,0,Rule_1_3_15_78_119_383_384_431,
19/07/2001,B,REPLACE LIP,PM01,1251.52,7,Bucket,NA,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_78_383_384,
01/10/2001,B,rebuild lip #3,PM01,0,74,Bucket,NA,Repair,5,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_78_362,
10/10/2001,B,REPLACE BUCKET TEETH.,PM01,681.1,9,Bucket,GET,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_5_9_115_131_383_384,
29/10/2001,B,Repair RH120 lip at P&H,PM01,22611.06,19,Bucket,NA,Repair,1,NA,Right,Positional Term,Bucket Clam (Lip),0,Rule_1_3_78_357_509_514,
06/11/2001,B,replace missing tip,PM01,1239.29,8,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,Bucket Clam (Lip),0,Rule_1_3_15_119_383_384_431,
13/11/2001,B,replace missing tip& adaptor.,PM01,221.15,7,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,Missing / Loose,NA,NA,Implements,0,Rule_1_3_15_16_80_119_239_383_384_431,
16/11/2001,B,Replace centre and LH lip shrouds,PM01,2118.87,3,Bucket,Wear Items,Replace,2V,NA,Left,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_383_384_499,
15/01/2002,B,OIL LEAK ON BUCKET....,PM01,0,60,Bucket_Hydraulic System,NA,NA,NA,Leak,NA,NA,O&K RH120C,0,Rule_1_3_5_52_425,
06/02/2002,B,REPLACE ADAPTOR LOCK,PM01,346.47,22,Bucket,Adaptor_Lock_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_16_80_163_239_383_384,
22/02/2002,B,Fit a lip shroud,PM01,56.59,16,Bucket,Wear Items,Replace,Install,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_376,
27/02/2002,B,Refit left lip shroud,PM01,627.85,5,Bucket,Wear Items,Modify_Replace,Install,NA,Left,NA,Bucket,0,Rule_1_3_78_218_356_376_501,
08/03/2002,B,refit adapter and tooth,PM01,1186.45,9,Bucket,Adaptor_GET,Modify_Replace,Install,NA,NA,NA,Bucket,0,Rule_1_3_8_17_82_114_130_356_376,
12/03/2002,B,FIT NEW TOOTH,PM01,397.57,4,Bucket,GET,Replace,Install,NA,NA,NA,Bucket,0,Rule_1_3_8_114_130_376,
12/03/2002,B,cut off broken wear package,PM01,0,0,Bucket,NA,NA,NA,Structural Integrity,NA,NA,Bucket Wall,0,Rule_1_3_460,
15/03/2002,B,CHANGE ADAPTOR AND TOOTH,PM01,0,3,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,1,NA,NA,NA,Bucket,0,Rule_1_3_8_16_80_114_130_239_378,
17/03/2002,B,replace adaptor & tooth,PM01,453.95,2,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384,
17/03/2002,B,replace lip shroud pin,PM01,107.42,0,Bucket,Mount_Wear Items,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_78_180_218_383_384,
25/03/2002,B,Replace adaptors as required,PM01,464.51,8,Bucket,Adaptor_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_16_80_239_383_384,
25/03/2002,B,repalced adaptor pins,PM01,464.52,0,Bucket,Adaptor_Mount_Hydraulic Cylinder,NA,NA,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_16_80_180_239,
02/04/2002,B,REPLACE L/H BUCKET CYLINDER GREASE LINE,PM01,11.2,8,Bucket_Hydraulic Cylinders,Cylinder_Grease System_Tilt,Replace,2V,NA,Left,NA,Bucket,0,Rule_1_3_5_18_113_139_212_297_383_384_500,
04/04/2002,B,replace adaptor and tip,PM01,203.65,2,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_15_16_80_119_239_383_384,
10/04/2002,B,"loose grease line on bucket ,",PM01,0,6,Bucket,Grease System,NA,NA,Missing / Loose,NA,NA,Other Systems,0,Rule_1_3_5_139_297_430,
16/04/2002,B,O-RING U/S  ON BUCKET RAM,PM01,507.42,6,Bucket,Seal,NA,NA,NA,NA,NA,Hydraulic/Mechanical Systems,0,Rule_1_3_5_197,
17/04/2002,B,TWO BUCKET TEETH AND ADAPTORS MISSING.,PM01,36.58,1,Bucket,Adaptor_GET_Hydraulic Cylinder,NA,NA,Missing / Loose,NA,NA,Bucket,0,Rule_1_3_5_9_16_80_115_131_239_431,
19/04/2002,B,Replace broken adaptor,PM01,378.47,2,Bucket,Adaptor_Hydraulic Cylinder,Replace,2V,Structural Integrity,NA,NA,Bucket Clam (Lip),0,Rule_1_3_16_80_239_383_384_460,
21/04/2002,B,PARTS FOR BUCKET,PM01,129.33,2,Bucket,NA,NA,NA,NA,NA,NA,Bucket,0,Rule_1_3_5,
23/04/2002,B,fitted two new adaptors,PM01,59.24,2,Bucket,Adaptor_Hydraulic Cylinder,Replace,Install,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_16_80_239_376,
26/04/2002,B,replace bucket tip & pins,PM01,739.68,3,Bucket,GET_Mount,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_5_15_119_135_180_383_384,
26/04/2002,B,REPLACE TOOTH & ADAPTOR,PM01,317.14,0,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384,
29/04/2002,B,BROKEN GREASE LINE ON BUCKET.,PM01,120,3,Bucket,Grease System,NA,NA,Structural Integrity,NA,NA,O&K RH120C,0,Rule_1_3_5_139_297_460,
06/05/2002,B,repair to bucket,PM01,995.32,7,Bucket,NA,Repair,1,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_5_357,
09/05/2002,B,Replace missing adaptors,PM01,6491.7,3,Bucket,Adaptor_Hydraulic Cylinder,Replace,2V,Missing / Loose,NA,NA,Bucket Clam (Lip),0,Rule_1_3_16_80_239_383_384_431,
11/05/2002,B,lh outer lip shroud lost,PM01,283.12,2,Bucket,Wear Items,NA,NA,Missing / Loose,Left,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_432_499,
29/05/2002,B,Rebuild spare lip GET,PM01,6454.45,18,Bucket,GET,Repair,5,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_12_78_118_362,
30/05/2002,B,REFIT RH OUTER ADAPTER,PM01,143.25,1,Bucket,Adaptor,Modify_Replace,Install,NA,Right,NA,Bucket Clam (Lip),0,Rule_1_3_17_82_356_376_509,
08/06/2002,B,replace bent adapter pin,PM01,341.42,9,Bucket,Adaptor_Mount,Replace,2V,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_17_82_180_383_384,
14/06/2002,B,RH120C-BUCKET FRONT LIP CHANGEOUT,PM02,0,6,Bucket,NA,Replace,1,NA,Front_Right,NA,Bucket Clam (Lip),1,Rule_1_4_5_78_378_496_509,
18/06/2002,B,Change LH bucket roll cylinder,PM01,12803.84,4,Bucket_Hydraulic Cylinders,Cylinder_Tilt,Replace,1,NA,Left,NA,Bucket Roll (Crowd) Cylinder Left,0,Rule_1_3_5_18_113_212_378_499,
18/06/2002,B,Change bucket lip.,PM01,778.56,0,Bucket,NA,Replace,1,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_5_78_378,
18/06/2002,B,fit teeth to bucket,PM01,258.72,0,Bucket,GET,Replace,Install,NA,NA,NA,Bucket,0,Rule_1_3_5_9_115_131_376,
20/06/2002,B,REPLACE WEAR PACKAGE LOWER WALL,PM01,214.88,2,Bucket,NA,Replace,2V,NA,NA,NA,Bucket Wall,0,Rule_1_3_383_384,
27/06/2002,B,air con. not getting cold.,PM01,214.88,7,Bucket,GET_Air Conditioning,NA,NA,NA,NA,NA,O&K RH120C,0,Rule_1_3_12_118_225,
02/08/2002,B,"Missing adapter,tooth and pins",PM01,159.25,36,Bucket,Adaptor_GET_Mount,NA,NA,Missing / Loose,NA,NA,Bucket,0,Rule_1_3_8_17_82_114_130_180_431,
12/09/2002,B,L/H BUCKET CYL GLAND SEAL LEAKING,PM01,0,41,Bucket_Hydraulic Cylinders,Cylinder_Seal_Tilt,NA,NA,Leak,Left,NA,Bucket Roll (Crowd) Cylinder Left,0,Rule_1_3_5_18_113_200_212_425_500,
03/10/2002,B,REPLACE MISSING BUCKET TOOTH,PM01,1532.37,21,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,Bucket,0,Rule_1_3_5_8_114_130_383_384_431,
14/10/2002,B,repair wear package rhs inside bkt wall,PM01,1739.36,11,Bucket,NA,Repair,1,NA,Right,NA,Bucket Wall,0,Rule_1_3_7_357_509,
29/10/2002,B,replace tip,PM01,676.11,15,Bucket,GET,Replace,2V,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_15_119_383_384,
10/01/2003,B,replace adaptor & tip,PM01,641.62,73,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_15_16_80_119_239_383_384,
20/01/2003,B,replace lip shroud,PM01,153.67,10,Bucket,Wear Items,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_78_218_383_384,
28/01/2003,B,WELD CRACK IN LH LIP EAR(FRONT),PM01,0,8,Bucket,NA,Repair,6,Structural Integrity,Front_Left,NA,Bucket Clam (Lip),0,Rule_1_3_78_360_363_461_496_499,
08/02/2003,B,replace tip,PM01,166.81,11,Bucket,GET,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_15_119_383_384,
14/02/2003,B,change out damaged lip,PM01,8774.59,6,Bucket,NA,Replace,1,Structural Integrity,NA,NA,Bucket Clam (Lip),0,Rule_1_3_78_378_455,
19/02/2003,B,replaced adaptor,PM01,844.6,5,Bucket,Adaptor_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_16_80_239_383_384,
22/02/2003,B,replace stick to bucket hose,PM01,1203.26,3,Bucket_Hydraulic System,Drivers Cabin,Replace,2V,NA,NA,NA,Hydraulic Hoses & Lines,0,Rule_1_3_5_53_281_383_384,
08/04/2003,B,REPLACE BUSTED LIP PIVOT GREASE LINES,PM01,59.38,45,Bucket,Grease System,Replace,2V,NA,NA,NA,Grease Lube System,0,Rule_1_3_78_139_297_383_384,
11/04/2003,B,LH LIP EAR CRACKED,PM01,118.76,3,Bucket,NA,NA,NA,Structural Integrity,Left,NA,Bucket Clam (Lip),0,Rule_1_3_78_461_499,
13/04/2003,B,Change out bucket clam (lip),PM01,4853.36,2,Bucket,Clam,Replace,1,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_5_92_378,
27/04/2003,B,replace 2 lost tips,PM01,606.92,14,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,Bucket Clam (Lip),0,Rule_1_3_15_119_383_384_432,
01/05/2003,B,replace lh outer adapter & tip,PM01,442.73,4,Bucket,Adaptor_GET,Replace,2V,NA,Left,NA,Bucket Clam (Lip),0,Rule_1_3_15_17_82_119_383_384_499,
20/05/2003,B,recover lower wear edge plate (CC1500),PM01,893.1,19,Bucket,Cover_Wear Items,Replace,N,NA,NA,NA,Bucket Wall,0,Rule_1_3_13_100_221_396,
05/06/2003,B,replace tooth,PM01,1043.88,16,Bucket,GET,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_8_114_130_383_384,
09/06/2003,B,refit lip shroud,PM01,268.5,4,Bucket,Wear Items,Modify_Replace,Install,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_356_376,
11/06/2003,B,replace tooth & adaptor,PM01,3244.06,2,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384,
23/06/2003,B,oil leak rh boom valve clam pipe adapter,PM01,124.12,12,Bucket_Hydraulic System,Adaptor_Clam_Hydraulic Fitting_Lift,NA,NA,Leak,Right,NA,Hydraulic Hoses & Lines,0,Rule_1_3_17_52_82_92_144_162_425_509,
29/06/2003,B,replace tooth & adaptor,PM01,0,6,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384,
04/07/2003,B,repair crack in lh front lip ear,PM01,631.5,5,Bucket,NA,Repair,1,Structural Integrity,Front_Left,NA,Bucket Clam (Lip),0,Rule_1_3_78_357_461_496_499,
18/07/2003,B,replace rh lip shroud!,PM01,244.04,14,Bucket,Wear Items,Replace,2V,NA,Right,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_383_384_509,
01/08/2003,B,fit new tooth,PM01,528.59,14,Bucket,GET,Replace,Install,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_8_114_130_376,
10/08/2003,B,replace adaptor  COMPLETED,PM01,491.98,9,Bucket,Adaptor_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_16_80_239_383_384,
11/08/2003,B,replace teeth,PM01,159.61,1,Bucket,GET,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_9_115_131_383_384,
27/08/2003,B,replace tip & pin  completed,PM01,180.8,16,Bucket,GET_Mount,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_15_119_135_180_383_384,
07/09/2003,B,replace busted grease hose bucket pin,PM01,892.22,11,Bucket_Hydraulic System,Grease System_Mount,Replace,2V,NA,NA,NA,Grease Lube System,0,Rule_1_3_5_53_141_180_297_383_384,
18/09/2003,B,R/H BUCKET ROD CYL GLAND SEAL LEAKING,PM01,2881.21,11,Bucket_Hydraulic Cylinders,Cylinder_Seal_Tilt,NA,NA,Leak,Right,NA,Bucket Roll (Crowd) Cylinder Right,0,Rule_1_3_5_18_113_200_212_425_510,
03/10/2003,B,Repair broken grease line on bucket,PM01,0,15,Bucket,Grease System,Repair,1,Structural Integrity,NA,NA,Grease Lube System,0,Rule_1_3_5_139_297_357_460,
27/10/2003,B,replace adaptor & tooth,PM01,1264.05,24,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384,
14/11/2003,B,lost tooth COMPLETED,PM01,162.47,18,Bucket,GET,NA,NA,Missing / Loose,NA,NA,Bucket,0,Rule_1_3_8_114_130_432,
24/11/2003,B,replace lip shroud lock,PM01,148.19,10,Bucket,Lock_Wear Items,Replace,2V,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_78_163_218_383_384,
31/12/2003,B,bucket clam gard is falling off,PM01,295.06,37,Bucket,Clam,NA,NA,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_5_92,
01/01/2004,B,replace grease line on bucket,PM01,300.49,1,Bucket,Grease System,Replace,2V,NA,NA,NA,Grease Lube System,0,Rule_1_3_5_139_297_383_384,
16/02/2004,B,Replace centre tooth,PM01,557.5,46,Bucket,GET,Replace,2V,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_8_114_130_383_384,
18/02/2004,B,oil leak dist. block rear of bucket,PM01,4.53,2,Bucket_Hydraulic System,Lock_Wear Items,NA,NA,Leak,Rear,NA,Bucket Roll (Crowd) Cylinders,0,Rule_1_3_5_52_163_222_425_507,
24/02/2004,B,replace broken bucket lube fittings,PM01,465.54,6,Bucket,Grease System,Replace,2V,Structural Integrity,NA,NA,Grease Lube System,0,Rule_1_3_5_255_383_384_460,
25/02/2004,B,REPAIR BROKEN GREASE FITTING ON BUCKET.,PM01,399.04,1,Bucket,Grease System,Repair,1,Structural Integrity,NA,NA,O&K RH120C,0,Rule_1_3_5_297_357_460,
09/03/2004,B,replace tooth,PM01,862.46,13,Bucket,GET,Replace,2V,NA,NA,NA,Implements,0,Rule_1_3_8_114_130_383_384,
11/03/2004,B,Reorder bucket tips SHD16,PM01,930,2,Bucket,GET,NA,NA,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_5_15_119_136,
23/03/2004,B,Replace bucket tip,PM01,153.96,12,Bucket,GET,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_5_15_119_383_384,
06/04/2004,B,GET SUSPENTION ROPE SOCKETS,PM01,244.74,14,Bucket,GET_Track,NA,NA,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_12_118_291,
06/04/2004,B,REPLACE LEFT HAND LIP SHROUD,PM01,1028.19,0,Bucket,Wear Items,Replace,2V,NA,Left,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_383_384_501,
12/04/2004,B,replace tooth,PM01,354.1,6,Bucket,GET,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_8_114_130_383_384,
12/04/2004,B,Broken grease line on bucket,PM01,244.74,0,Bucket,Grease System,NA,NA,Structural Integrity,NA,NA,Grease Lube System,0,Rule_1_3_5_139_297_460,
13/04/2004,B,replace adaptor keeper pin,PM01,249.55,1,Bucket,Adaptor_Mount_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Implements,0,Rule_1_3_16_80_176_180_239_383_384,
01/03/2004,C,REPLACE BUCKET TEETH,PM01,3368.74,NA,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_9_108_124_361_362,
11/04/2004,C,REPAIR DAMAGED BUCKET,PM06,6491.14,41,Bucket,NA,Repair,1,Structural Integrity,NA,NA,BUCKET,0,Rule_1_5_335_433,
14/05/2004,C,REPLACE BROKEN LUBE FITTING / BUCKET,PM01,0,33,Bucket,Grease System,Replace,2V,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_243_361_362_438,
28/05/2004,C,WELD NPB07 ON SPARE BUCKET,PM01,480.56,14,Bucket,NA,Repair,6,NA,NA,NA,BUCKET,0,Rule_1_3_5_338_341,
27/08/2004,C,WELD MODS TO BUCKET,PM01,1647.73,91,Bucket,NA,Modify_Repair,6,NA,NA,NA,BUCKET,0,Rule_1_3_5_329_338_341,
28/10/2004,C,MINING ~ GET,PM01,503.78,62,Bucket,GET,NA,NA,NA,NA,NA,IMPLEMENTS,0,Rule_1_3_12_111,
05/11/2004,C,REPLACE RIGHT HAND TOOTH,PM01,690.82,8,Bucket,GET,Replace,2V,NA,Right,NA,BUCKET,0,Rule_1_3_8_107_123_361_362_486,
10/11/2004,C,L/ H BUCKET TOOTH BROKEN,PM01,593.81,5,Bucket,GET,NA,NA,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_8_107_123_438,
17/11/2004,C,CHANGE BUCKET TEETH.,PM01,3604.93,7,Bucket,GET,Replace,1,NA,NA,NA,BUCKET,0,Rule_1_3_5_9_108_124_356,
18/12/2004,C,BUCKET TEETH BROKEN  X  2,PM01,1292.72,31,Bucket,GET,NA,NA,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_9_108_124_438,
08/01/2005,C,REPLACE BUCKET PIN,PM01,157.64,21,Bucket,Mount,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_173_361_362,
20/01/2005,C,REPLACE MISSING BUCKET TEETH,PM01,1648.79,12,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_5_9_108_124_361_362_409,
27/03/2005,C,REPLACE DAMAGED LUBE LINE ON RHS BUCKET,PM01,0,66,Bucket,Grease System,Replace,2V,Structural Integrity,Right,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_131_243_361_362_433_487,
04/05/2005,C,REPLACE BROKEN BUCKET GREASE LINE.,PM01,165,38,Bucket,Grease System,Replace,2V,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_361_362_438,
21/05/2005,C,REPLACE BROKEN GREASE LINE ON BUCKET,PM01,73.33,17,Bucket,Grease System,Replace,2V,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_361_362_438,
05/06/2005,C,REPAIR BROKEN GREASE LINE ON BUCKET,PM01,205.14,15,Bucket,Grease System,Repair,1,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_335_438,
12/06/2005,C,REPAIR BROKEN GREASE FITTING ON BUCKET,PM01,410.29,7,Bucket,Grease System,Repair,1,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_278_335_438,
08/07/2005,C,REPAIR GREASE LINES ON BUCKET PIN,PM01,107.93,26,Bucket,Grease System_Mount,Repair,1,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_173_278_335,
18/08/2005,C,REPLACE GREASE LIN TO BUCKET PIN,PM01,164.14,41,Bucket,Mount_Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_173_278_361_362,
19/09/2005,C,WEAR PLATES COMING OF CLAM-REPAIR BUCKET,PM01,342.48,32,Bucket,Clam_Wear Items,Repair,1,NA,NA,NA,BUCKET,0,Rule_1_3_5_85_214_335,
28/09/2005,C,CHANGEOUT ~ BUCKET ASSEMBLY. SWAPPED OVE,PM02,4528.35,9,Bucket,NA,Replace,4,NA,NA,NA,BUCKET,1,Rule_1_4_5_356_368,
04/10/2005,C,REPLACE O RING ON BUCKET CLAM HOSE,PM01,0,6,Bucket_Hydraulic System,Clam_Seal,Replace,2V,NA,NA,NA,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_85_189_190_361_362,
20/10/2005,C,REPLACE BOOM TO BUCKET HOSE.,PM01,1714.79,16,Bucket_Hydraulic System,Lift,Replace,2V,NA,NA,NA,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_155_361_362,
25/10/2005,C,REPLACE BUCKET TOOTH,PM01,850.25,5,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_107_123_361_362,
27/10/2005,C,REPLACE GREASE LINES TO BUCKET PINS,PM01,0,2,Bucket,Grease System_Mount,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_173_278_361_362,
27/11/2005,C,REPLACE GREASE LINES ON BUCKET,PM01,858.06,31,Bucket,Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_361_362,
07/12/2005,C,REPLACE CORNER TOOTH,PM01,589.34,10,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_8_107_123_361_362,
28/12/2005,C,SLOW BUCKET CLAM ACTION,PM01,2550.55,21,Bucket,Clam,NA,NA,NA,NA,NA,"IMPLEMENTS HYD,MECH - CONTROLS",0,Rule_1_3_5_85,
22/02/2006,C,REPAIR SHD23 SPARE BUCKET,PM01,4941.44,56,Bucket,NA,Repair,1,NA,NA,NA,BUCKET,0,Rule_1_3_5_335,
25/02/2006,C,CHANGE OUT 1 X BROKEN TOOTH,PM01,670.46,3,Bucket,GET,Replace,1,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_8_107_123_356_438,
14/03/2006,C,REPLACE / Tips broken off teeth,PM01,2357.37,17,Bucket,GET,Replace,2V,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_9_15_108_112_124_129_361_362_438,
28/03/2006,C,REPLACE ONE BUCKET TOOTH,PM01,589.34,14,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_107_123_361_362,
17/04/2006,C,NOT REQUIRED - SEE BUCKET CO 20579959,PM02,0,20,Bucket,NA,NA,NA,NA,NA,NA,CYLINDER CLAM - RIGHT,1,Rule_1_4_5,
24/04/2006,C,REPLACE LEAKING HOSE AT BUCKET,PM01,1882.81,7,Bucket_Hydraulic System,NA,Replace,2V,Leak,NA,Positional Term,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_361_362_403_492,
28/04/2006,C,OIL LEAK BUCKET CLAM,PM01,0,4,Bucket_Hydraulic System,Clam,NA,NA,Leak,NA,NA,"IMPLEMENTS HYD,MECH - CONTROLS",0,Rule_1_3_5_52_85_403,
28/04/2006,C,REPAIR CRACK ON BUCKET,PM01,0,0,Bucket,NA,Repair,1,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_335_439,
20/09/2006,C,BUCKET CLAM PIPE LEAKING L/H,PM01,4726.09,145,Bucket,Clam,NA,NA,Leak,Left,NA,CYLINDER CLAM - LEFT,0,Rule_1_3_5_85_403_478,
30/09/2006,C,REPLACE LEAKING HOSE  AT BUCKET,PM01,3293.94,10,Bucket_Hydraulic System,NA,Replace,2V,Leak,NA,Positional Term,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_361_362_403_492,
12/10/2006,C,REPLACE CLAM CIRCUIT HOSE- STICK /BUCKET,PM01,2000.12,12,Bucket_Hydraulic System,Clam_Drivers Cabin,Replace,2V,NA,NA,NA,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_53_85_264_361_362,
29/10/2006,C,REPLACE BUCKET TEETH,PM01,1224.24,17,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_9_108_124_361_362,
30/10/2006,C,REPLACE BUCKET TEETH 2 OFF,PM01,1308.24,1,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_9_108_124_361_362,
14/11/2006,C,REPAIR BUCKET CRACKS,PM01,1165.7,15,Bucket,NA,Repair,1,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_335_439,
22/11/2006,C,BUCKET CROWD HOSE U/S    @ R40S,PM01,1994.16,8,Bucket_Hydraulic System,NA,NA,NA,NA,NA,NA,"IMPLEMENTS HYD,MECH - CONTROLS",0,Rule_1_3_5_53,
15/02/2007,C,REPLACE BUCKET GREASE LINE,PM01,161.96,85,Bucket,Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_132_278_361_362,
05/03/2007,C,CHANGE OUT BUCKET TEETH,PM01,5136.74,18,Bucket,GET,Replace,1,NA,NA,NA,BUCKET,0,Rule_1_3_5_9_108_124_356,
06/03/2007,C,BUCKET PIN COMING OUT,PM01,1675.56,1,Bucket,Mount,NA,NA,NA,NA,NA,BUCKET,0,Rule_1_3_5_173,
